Period,NewYork,LosAngeles,Chicago,Miami,SFO
2010 Jan,8324,14204.7,5581.6,7130.3,14204.7
2010 Feb,8372.6,14189.6,5586.3,7132.4,14189.6
2010 Mar,8428.2,14191.1,5585.8,7138.3,14191.1
2010 Apr,8542.1,14286.6,5598,7157.1,14286.6
2010 May,8625.7,14330.2,5618.8,7201.9,14330.2
2010 Jun,8628,14314.2,5609.8,7189.9,14314.2
2010 Jul,8526,14284.3,5588.7,7190.5,14284.3
2010 Aug,8487.5,14284.5,5615.9,7191.3,14284.5
2010 Sep,8533.1,14275.5,5617.8,7169.5,14275.5
2010 Oct,8662,14334.5,5635.6,7202.1,14334.5
2010 Nov,8696.9,14335.5,5638.9,7196.4,14335.5
2010 Dec,8707.2,14347,5642.3,7201,14347
2011 Jan,8462.2,14359.5,5644.5,7215.6,14359.5
2011 Feb,8525.3,14376.6,5648.7,7212.3,14376.6
2011 Mar,8570.3,14371.6,5658.3,7219,14371.6
2011 Apr,8686.3,14399.4,5671.6,7248.2,14399.4
2011 May,8717.8,14402.2,5666.6,7243.1,14402.2
2011 Jun,8741.2,14394.9,5667.9,7235.7,14394.9
2011 Jul,8692.6,14444.6,5680.1,7259.9,14444.6
2011 Aug,8660.2,14455.3,5687.3,7265,14455.3
2011 Sep,8713.5,14483,5690.1,7281.9,14483
2011 Oct,8811.3,14495.5,5690.2,7284.5,14495.5
2011 Nov,8850.1,14518.6,5693.9,7291,14518.6
2011 Dec,8868.1,14535.4,5701.6,7304.3,14535.4
2012 Jan,8590.6,14595.3,5716.5,7325.3,14595.3
2012 Feb,8671.9,14616.5,5723.9,7334.6,14616.5
2012 Mar,8727.5,14658.5,5740.6,7354.8,14658.5
2012 Apr,8785.8,14673.7,5740.6,7380,14673.7
2012 May,8866.3,14715.1,5738.7,7380.3,14715.1
2012 Jun,8882.5,14761.1,5744.7,7395.1,14761.1
2012 Jul,8791.2,14784.9,5748,7399.3,14784.9
2012 Aug,8780.4,14804.7,5756.2,7408.1,14804.7
2012 Sep,8828,14832.5,5769.3,7426.6,14832.5
2012 Oct,8953.5,14863.7,5764.9,7454.3,14863.7
2012 Nov,8953.9,14899,5774.7,7462.8,14899
2012 Dec,9005.6,14930.7,5777,7472.4,14930.7
2013 Jan,8693.7,14956.3,5782,7486.3,14956.3
2013 Feb,8770.2,15005,5795.5,7509.1,15005
2013 Mar,8828.9,15035.2,5792.7,7524.9,15035.2
2013 Apr,8922.7,15075.8,5782.6,7539.5,15075.8
2013 May,8977.9,15102.8,5792.3,7552.3,15102.8
2013 Jun,9001.8,15128.6,5798.8,7578.5,15128.6
2013 Jul,8948.6,15160.1,5804,7593,15160.1
2013 Aug,8925.2,15206.9,5811.9,7613.6,15206.9
2013 Sep,8981.3,15225.6,5816.4,7630.1,15225.6
2013 Oct,9108.2,15258.3,5815.1,7648.1,15258.3
2013 Nov,9154.9,15310.7,5820.9,7667.1,15310.7
2013 Dec,9164.5,15344.7,5832.8,7684.6,15344.7
2014 Jan,8831,15382.4,5839.8,7699.6,15382.4
2014 Feb,8919.9,15418.2,5840.4,7720.7,15418.2
2014 Mar,8973.1,15452.7,5849.3,7743.2,15452.7
2014 Apr,9069.4,15489.5,5866.6,7778.1,15489.5
2014 May,9153.1,15520.7,5873.9,7795.7,15520.7
2014 Jun,9188.3,15553.1,5879.1,7815.7,15553.1
2014 Jul,9136.1,15563.4,5881.4,7835.2,15563.4
2014 Aug,9121,15626.8,5884.4,7858.2,15626.8
2014 Sep,9146.2,15669.1,5888.2,7883.4,15669.1
2014 Oct,9274.5,15702.8,5898.8,7902.3,15702.8
2014 Nov,9319.3,15749.8,5911.3,7932,15749.8
2014 Dec,9337.9,15780.4,5921.2,7956.5,15780.4
2015 Jan,9018.3,15819.1,5919.9,7976.8,15819.1
2015 Feb,9089.2,15851.6,5927.1,7997,15851.6
2015 Mar,9135.7,15894.7,5925.6,8017.8,15894.7
2015 Apr,9230.3,15914.7,5949.5,8031.3,15914.7
2015 May,9324.6,15963.4,5972.4,8069.6,15963.4
2015 Jun,9357,16001.6,5973,8096.1,16001.6
2015 Jul,9318.2,16084.7,5978.8,8118.3,16084.7
2015 Aug,9287.7,16139.5,5980.9,8148.1,16139.5
2015 Sep,9301.5,16165.2,5980.1,8160.8,16165.2
2015 Oct,9445.6,16228,5994.6,8204,16228
2015 Nov,9488.5,16255.1,5996.7,8233.3,16255.1
2015 Dec,9498.2,16287.7,6003.4,8255.2,16287.7
2016 Jan,9176.5,16312.9,6011.8,8271.6,16312.9
2016 Feb,9256.7,16359.9,6010.2,8293,16359.9
2016 Mar,9317.1,16336.6,6004.9,8310.2,16336.6
2016 Apr,9421.1,16426.6,6015.4,8335,16426.6
2016 May,9446.7,16445.4,6002.8,8356.4,16445.4
2016 Jun,9493.2,16427.2,6002.9,8360.9,16427.2
2016 Jul,9458.7,16518.3,6020.7,8411,16518.3
2016 Aug,9429.2,16531,6019.7,8427.6,16531
2016 Sep,9451.5,16559.2,6029.1,8458.1,16559.2
2016 Oct,9557.9,16592.1,6040.2,8464.5,16592.1
2016 Nov,9599.8,16617.1,6042.9,8478.2,16617.1
2016 Dec,9611.6,16634.4,6039.8,8491.7,16634.4
2017 Jan,9306,16638.8,6043,8524.9,16638.8
2017 Feb,9395.3,16672.9,6047.1,8526.4,16672.9
2017 Mar,9431.8,16726.7,6051.2,8539.2,16726.7
2017 Apr,9499.1,16756.9,6051,8551.7,16756.9
2017 May,9583.1,16801.6,6050.1,8566.4,16801.6
2017 Jun,9639,16838.3,6065.4,8582.2,16838.3
2017 Jul,9573.3,16855.4,6064.1,8592.4,16855.4
2017 Aug,9551.1,16880.1,6075.1,8605.9,16880.1
2017 Sep,9570.7,16910.3,6075.5,8439.5,16910.3
2017 Oct,9688.1,16951.3,6077.8,8634.9,16951.3
2017 Nov,9736.6,16978.5,6084,8650.5,16978.5
2017 Dec,9746.8,17023.8,6090.3,8666.2,17023.8
2018 Jan,9409,17058.8,6094.7,8690.8,17058.8
2018 Feb,9520.9,17100.2,6103.3,8709.7,17100.2
2018 Mar,9567,17115,6114,8722.6,17115
2018 Apr,9634.6,17131.9,6095.5,8736.6,17131.9
2018 May,9710.1,17142.8,6099.4,8746.8,17142.8
2018 Jun,9774,17177.8,6111,8767.7,17177.8
2018 Jul,9698.5,17176.8,6123.3,8784.8,17176.8
2018 Aug,9666,17205.5,6120.8,8811.9,17205.5
2018 Sep,9668,17218.5,6120.1,8828,17218.5
2018 Oct,9780.5,17259.5,6135.3,8850.4,17259.5
2018 Nov,9810.1,17282.5,6140.9,8872.5,17282.5
2018 Dec,9799.9,17302.2,6148.3,8892,17302.2
2019 Jan,9523.9,17308.1,6175,8896.4,17308.1
2019 Feb,9613.6,17329,6164.2,8920.8,17329
2019 Mar,9667.8,17357.5,6158.1,8926,17357.5
2019 Apr,9752,17406.1,6176.5,8944.3,17406.1
2019 May,9817.5,17427.7,6178.8,8970.4,17427.7
2019 Jun,9879.2,17469,6186.4,8989.1,17469
2019 Jul,9829.3,17488.6,6186,9012,17488.6
