RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
United States,0,160.4122108,159.1845372,158.4006434,157.7836412,157.912346,157.0955273,156.7585931,155.3414995,154.11515,153.280609,152.6208651,150.9607686,149.7254804,150.1460159,149.6463659,149.3301812,149.5225093,149.1646778,148.8193018,148.2371795,148.9784238,148.6111111,147.5943138,147.4921337,146.7721912,146.9135802,147.3042362,147.2652731,147.3801903,146.9116497,147.2650771,146.6608405,147.7729602,147.6868327,147.0558824,146.9589458,146.9969494,147.6590088,149.1163476,150.5602241,150.8301405,151.1627907,150.8785066,150.7309942,151.5544041,151.0030067,152.5792592,151.8294271,152.039555,153.125,153.7800687,155.5889423,156.4673157,156.9184149,156.5510597,156.075919,156.8278418,157.2687225,157.002818,156.8692206,156.9664903,157.3684211,158.0393953,159.8837209,162.0759837,162.3490801,161.588181,160.9589041,161.1107143,162.5730239,162.7991298,162.511121,162.596097,167.2131148,168.4751571,170.2702703,170.6233538,170.1469451,169.8249511,169.9014207,171.5190786,171.6538192,172.36404,172.1393035,172.8711722,173.6933887,173.7804878,174.7346072,175.3970005,175.2766743,174.4532341,173.7967914,174.6693608,175.4926108,175.4842424,175.257732,175.7907543,177.6625631,179.5645114,181.760102,182.7160494,182.7241547,182.9573935,182.9449678,184.8101266,185.8706567,186.7408964,186.8811621,187.183384,188.5938443,189.0326975,190.7407407,190.7643312,190.538238,189.962891
"New York, NY",1,332.6130793,330.4673536,332.3831909,329.6666667,334.7948504,332.6703133,330.5739514,327.0321361,334.7767857,337.4233129,339.061423,338.4987893,339.0243902,334.1413356,338.5658223,332.1256039,328.0525136,326.122449,325.1999055,323.7610005,324.9583333,326.5377856,331.1775321,336.0042735,337.1297757,337.7730253,334.1110118,344.2837466,344.5,339.5282345,339.6307263,339.2857143,344.8043185,349.0937527,345.766974,349.6748374,355.1390187,352.7170078,351.9690211,344.9834287,341.0973085,338.2991134,336.1801242,337.5469535,342.9487179,347.2222222,371.2679283,374.0623766,385.7677903,377.2290809,373.2058565,370.0036311,376.8187944,394.1647597,387.9607482,391.415437,393.9899833,406.5852756,411.4007217,432.132964,458.7432323,439.238653,425.7493188,411.5076475,406.0723527,404.9610088,404.6134663,410.3447414,417.4805379,429.0830946,439.9390246,454.5397727,504.1548503,498.8193625,450.7643158,461.7360041,438.359412,436.8658399,439.1703099,444.4443077,453.5741466,466.3492557,482.1428571,501.7194925,513.5395736,511.0534487,491.5259493,491.4422215,482.436601,483.0645161,485.0367024,484.2857143,494.396908,505.1664753,522.1474816,541.6666667,553.4456019,509.4339623,473.377193,473.1386518,468.1919643,462.5,464.1704325,466.6666667,481.866599,491.8729683,502.5620812,520.4439336,535.7138393,530.8401315,515.625,511.9170984,500.7617423,499.21875,496.4285714
"Los Angeles-Long Beach-Anaheim, CA",2,405.7540014,398.6816925,406.4869804,404.9844237,402.5112533,397.7375566,392.256341,389.9957591,389.8838336,387.4331889,387.4233588,385.0536193,382.1049027,384.7125202,382.0915926,375.6464504,377.3255814,377.1647225,376.6810271,376.1574074,375.6942176,373.8935325,373.9012575,373.4693878,372.9619565,372.1914476,369.6966487,372.4012052,374.574502,376.5493803,378.9002107,378.3472339,380.8444902,386.2009734,388.5196375,389.0648616,398.1169392,398.7947536,408.091619,418.537615,422.3226244,423.9056987,425.3281305,424.721734,428.367274,429.5002158,432,433.0855019,436.5755627,438.9756098,448.502994,449.0227153,450.0276091,448.5639952,446.8274439,445.7139579,452.8126346,458.0265461,456.1819882,462.1568378,454.7633682,468.75,469.985119,479.9997112,481.5595996,480.2331475,481.8875502,485.7503341,490.5768132,495.5283392,502.3406554,501.2309207,510,518.7834548,512.01373,514.5206952,517.6674615,518.1616012,517.8775409,517.7187154,524.7890295,531.6248637,541.5096114,546.2027081,552,549.2656059,551.3184584,551.9819967,555.2229884,563.5130111,564.4820296,561.0047847,567.0946774,573.1619154,579.8797642,586.67676,590.4712826,590.5372236,597.5975976,600.5352961,597.6941748,600.6578611,599.4407442,603.7033333,606.0606061,614.4907724,622.0964241,627.3545073,629.5724252,631.4357878,629.1259977,620.7250887,619.0243059,614.1879278,614.6369354
"Chicago, IL",3,211.8055556,210.4989177,209.8134232,210.0592778,207.4838188,207.5996678,205.7692308,204.4428773,200,200.1299371,198.9378168,197.0788609,196.0348584,195.9459459,193.236715,192.5183062,190.8711217,189.3353941,187.9699248,186.1234568,185.6428571,183.4057852,182.0061094,181.1594203,180.5115632,180.7474005,179.138322,180.6547619,180.7692308,180.4652273,177.1079695,175.5525099,175.945123,175.1428053,176.1396104,175.6756754,175.7028112,177.7037037,180.0364631,182.2076322,183.6074561,185.3224987,186.1154055,185.9567901,188.2346683,187.165869,186.9079899,186.2147753,186.2759729,188.7815327,190.8617698,193.6501597,194.2941906,195.3125,194.6629216,193.637621,194.4016091,195.0007529,194.1298544,193.0578035,193.1540101,196.5139162,197.3157895,197.9166667,199.5763202,200.9133556,200.741775,199.661476,199.7678266,199.6774194,200.1121111,199.7008355,200.7660389,203.3594888,204.2127282,204.3668122,205.0827423,206.14557,205.9378754,205.1428571,206.4754644,207.2656503,208.8616715,208.9160839,209.9336535,212.4998816,211.9511188,211.8250171,212.5319693,212.2066548,211.7868124,210.3351645,210.6059602,211.2535613,211.5688488,212.2464197,213.1147541,215.393452,222.1581953,225.3940646,224.1882525,223.3247423,223.6760935,222.800463,224.8403947,224.9375,225.6898497,226.0052075,227.942766,230.7172268,228.5067873,227.027027,223.222061,221.6045039,219.5
"Dallas-Fort Worth, TX",4,114.8408974,114.7809792,114.9741824,114.2792975,113.879548,113.3288227,113.3019423,112.2106011,109.80919,109.1197183,108.8621855,108.1362178,107.2711345,107.6047024,108.0665281,109.5410355,109.5724121,109.0046646,108.8673027,108.8671505,108.6786859,109.0045842,108.935353,109.0404441,108.9342215,108.8343458,110.1572863,112.058937,112.3409669,112.4310564,111.5474396,110.951549,111.9819238,112.1806376,112.4732624,113.1333787,112.9989236,113.2919075,114.3237254,115.1948718,115.3444409,115.3324288,116.1708619,116.7239011,118.4573372,119.1179523,119.8919466,120.3687976,121.1824589,122.2336593,122.3026323,123.2260218,123.2212844,122.4286662,123.9665583,124.9500245,125.8251535,127.8006401,127.5569063,129.8330241,130.9724774,130.9846245,133.3968556,133.4482174,132.6814364,132.6170993,132.6597265,133.3481547,134.3295638,136.2098877,136.6457995,137.0085443,138.0628717,139.4826172,140.40126,141.5746248,141.9154418,142.0388795,142.4733273,143.0821535,144.2274536,145.3471376,145.8067263,146.8482232,147.6167516,148.4931461,148.9268506,149.0795613,148.9579584,148.5330073,148.4992994,148.5984282,149.6749717,150.4716981,150.7426752,151.1466506,152.5090194,153.1528752,154.874019,155.2165987,155.547793,155.3467113,155.0298211,154.7082228,155.5328399,156.25,156.7965779,156.9695701,157.0087407,157.2352466,158.2688849,158.7598058,158.2332762,157.5883576,157.2053569
"Philadelphia, PA",5,173.2794399,173.8095238,174.2793707,172.9559748,173.3220114,172.6969697,172.2222222,171.1419753,170.5882353,170.3804657,169.2592593,168.6322797,168.1892832,167.5362319,168.2055399,167.7726926,167.4131465,166.142793,165.0485437,164.556962,164.1489682,163.9655117,163.7342068,163.2389247,162.8312413,162.7987474,163.5514019,164.4736842,163.8513376,164.1124259,163.3822833,161.6102615,162.5,163.5882167,163.7448713,164.0625,163.728223,164.4278214,165.684743,165.3433624,165.7142857,166.0923077,165.5384615,164.5849285,165.4778576,166.0537412,167.9981818,166.4662127,166.4838516,165.9642857,168.3463619,169.307573,170.0854701,169.6726097,168.7845304,169.2774128,170.1503295,169.4607088,169.3517718,169.6096654,167.9067148,168.7503257,170.71285,171.6974901,172.6159054,171.96,171.3245102,171.7378184,171.0421365,172.6981707,173.1396383,172.5337374,171.96,172.0023064,172.8723404,174.9112991,175.6665231,174.0364691,174.4989149,174.0566038,174.2952522,175.1782167,176.2031072,177.221172,177.9761905,179.4294516,180.1870647,180.731685,181.4386641,182.0175439,181.8143813,181.4524524,182.5238095,182.7439633,183.4798258,183.1383109,183.5114659,183.5837507,184.5090068,185.0329032,184.6386672,185.4280025,185.7379254,185.9649123,187.2134488,188.158887,188.5928144,189.69034,190.3311762,191.029724,192.1698728,192.4673571,193.2751489,193.2539326,193.2778065
"Houston, TX",6,114.9606299,114.3930189,113.5464872,113.3844637,112.7471017,112.0052219,112.1582315,111.7708198,107.2222414,106.870229,106.3962495,105.8397648,104.5321637,104.7704757,105.3334261,106.9954128,107.333197,106.6652381,106.24508,105.5172414,106.6249645,107.5268817,107.1787318,107.3108821,107.2097378,106.3829787,107.4457447,107.8461958,107.9953198,107.0500928,106.9006194,107.1855298,108.691758,108.6645963,108.9288308,109.5687006,110.040864,110.2224436,111.6215301,112.8970164,113.5,114.5839213,115.2374366,116.1746231,117.4932379,117.1875,118.6131387,118.6131387,119.547644,120.7602366,120.1228535,123.5699817,123.8202578,124.5591628,125.0677087,125.588697,127.4460126,127.9698018,128.4791022,130.1740341,131.1434385,131.8325032,132.7122871,133.6572559,133.2962551,133.3020791,133.0140995,132.8424187,133.7426708,133.6707353,133.9692499,134.4547889,133.5326814,137.3933649,137.1641241,137.3531444,137.0894848,136.2763916,135.608049,136.9590191,136.7787464,136.5346693,137.064207,136.8078176,138.1765835,137.3792173,137.196815,136.9394043,136.5041671,135.8587718,135.8234661,135.123789,136.8412373,136.6010576,137.251634,138.1077573,138.1874113,139.0502991,140.1323235,141.5880039,140.8122449,140.2971919,141.393856,142.3839914,143.3085082,143.3977173,143.7538144,143.9123404,143.853531,144.5002369,144.4306477,145.5082244,145.4810957,144.3603793,144.7908121
"Washington, DC",7,264.5811241,265.3530858,272.4930638,273.7804878,272.9137577,272.7672679,272.8303851,264.342901,262.0000688,264.2033906,262.0535714,257.8125,254.2372881,255.7237097,258.7986542,262.5375745,264.3519456,261.4177804,262.705902,258.692081,263.0140189,261.8006993,257.9318449,250.7340451,249.7065824,252.555383,258.2729512,263.5714914,265.8157603,265.2339499,263.7701428,258.6874346,265.5566725,269.1050873,266.2733156,263.5905313,261.6263904,260.6867807,269.9435939,276.5654649,275.9911533,275.5717529,271.2030297,269.7524752,277.7412281,280.8744504,277.3375594,268.404908,262.0020964,264.1562008,269.0619671,272.880117,274.3582909,275.4237288,271.8714494,264.8337029,270.9269663,272.6999544,267.5940212,262.3716336,254.6556571,261.6919596,265.9952723,269.6489106,276.4820214,276.5031646,273.7642735,271.1440678,277.0456859,279.9913849,280.2283342,273.7397086,269.4244362,278.3471347,280.6132324,285.7858998,285.26321,285.7658158,285.8108108,283.6174242,286.9529949,290.1848037,291.6645833,290.8373178,293.5082873,298.042004,294.8851775,293.8410907,295.6023651,297.7617866,296.229319,291.6666667,299.6631098,304.7422348,303.4152284,301.3626834,301.0582011,303.1244086,301.9054456,307.1581197,308.4763948,308.0560122,312.5,311.5264798,320.7784623,325.5777311,329.9978845,333.3333333,335.7318709,338.0330388,333.5502877,333.954807,332.3138636,331.7449858,330.7746018
"Miami-Fort Lauderdale, FL",8,221.4904679,218.63581,213.6513158,211.7641176,215.4730146,213.0294542,209.6659326,210.4945718,209.8559755,211.5853081,213.9578899,211.7522499,209.7902098,216.9103121,205.3081136,200.3012048,201.946472,200.5752115,200.4329403,199.8972251,204.3544691,207.5689328,211.2030075,217.0568562,210,206.4217353,206.6115702,215.6980228,217.2103607,213.6752137,217.0731707,214.9671052,223.0490864,219.5600712,220.7249071,227.2727273,233.1206603,234.3260188,234.1463565,235.4330709,227.2159006,230.9044216,234.9692643,230.5414552,233.148251,239.1464312,234.2924251,247.9023646,253.8135593,254.5098039,250.8013937,254.2262824,253.8975501,249.5247148,247.995992,251.2378968,256.2010426,261.732627,267.9640719,275.8085642,275.2025932,274.9003984,263.9751553,270.2242691,275.6124722,271.5231788,268.1025083,272.5350713,275.0851454,278.5693516,288.2721822,293.2500255,301.9374674,307.8416149,305.5555556,304.316994,302.4242424,305.5555556,306.0510668,302.5682704,308.4480731,313.896648,322.0021215,328.845003,328.3898305,332.7137546,329.4460641,326.9484808,324.0360952,324.1758242,320.2712886,320.8333333,326,325.6521739,335.0083752,340.0151286,340.0404349,339.2348426,340.2170759,339.4872143,336.0003153,334.3949045,334.3036979,335.7916137,344.4444444,346.0161455,350.8319647,354.4060515,356.5505804,353.0377668,349.7728748,344.9127071,343.7021052,337.4929098,335.9791252
"Atlanta, GA",9,130.9287126,129.5465869,130.4964616,130.8940966,129.2750649,128.0080806,128.6740497,127.7392811,126.8157713,125.3111545,124.1587375,123.2810164,121.737013,121.4285714,119.760479,119.3560058,119.2320939,118.5031384,117.2579716,116.7640187,116.3859427,115.2214892,114.2407369,113.8063584,113.3408919,113.2508419,113.2749107,113.7029743,114.3108504,114.8793103,114.7186592,113.9835488,115.2375077,115.7407407,116.7208255,116.478666,116.4870376,116.9589821,118.6510028,120.0304135,122.2826087,122.7909483,122.8032196,122.8846154,122.5828493,122.649467,123.4916865,123.4078986,123.7744838,124.9352751,125.041141,128.2312925,128.0126944,128.2844234,128.2186814,128.1354898,129.6924484,129.7017787,127.9654464,129.5768918,130.4163613,131.9586021,132.1867322,132.8634716,133.0954079,133.5113485,132.8177539,132.1818823,131.7049808,132.308561,132.6199885,132.1602804,132.7857393,135.9724613,137.443473,140.0201392,140.6734603,139.3820634,140.5625,141.5711948,142.04174,144.3308271,145.1186646,144.7029168,145.7177205,148.1554924,149.8260637,150.4938852,150.3966303,149.8741906,149.3718166,149.9391974,150.7955355,152.1053168,151.6416445,152.6052632,153.9487609,153.7797258,157.4489802,159.0236686,158.495935,159.062221,160.3845335,161.3150464,161.1645737,162.4639344,163.3276661,164.5552434,165.5207538,164.227744,164.5331703,166.6648148,165.5405927,165.6442835,164.9191617
